Instance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
e09,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795,3795
e10,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
e11,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
e12,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
e13,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
e14,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
e15,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867
e16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
e17,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
e18,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651
e19,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814,814
e20,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
