2019-11-22,18:51:50,b16,127,127,1,1.15459,0,200,2000,10,1
2019-11-22,18:51:51,b17,131,131,1,1.3137,0,200,2000,10,1
2019-11-22,18:51:53,b18,218,218,2,1.38608,0,200,2000,10,1
2019-11-22,18:53:35,b16,127,127,1,1.17236,0,200,2000,10,1
2019-11-22,18:53:37,b17,131,131,2,1.2366,0,200,2000,10,1
2019-11-22,18:53:38,b18,218,218,1,1.3891,0,200,2000,10,1
2019-11-22,18:54:5,b16,127,127,1,1.19732,0,200,2000,10,1
2019-11-22,18:54:7,b17,131,131,2,1.26778,0,200,2000,10,1
2019-11-22,18:54:8,b18,218,218,1,1.41324,0,200,2000,10,1
2019-11-22,18:54:37,b16,127,127,1,1.21826,0,200,2000,10,1
2019-11-22,18:54:38,b17,131,131,1,1.27751,0,200,2000,10,1
2019-11-22,18:54:40,b18,218,218,2,1.41059,0,200,2000,10,1
2019-11-22,18:55:17,b16,127,127,2,1.2119,0,200,2000,10,1
2019-11-22,18:55:18,b17,131,131,1,1.32376,0,200,2000,10,1
2019-11-22,18:55:19,b18,218,218,1,1.4096,0,200,2000,10,1
2019-11-22,18:55:33,e01,111,111,1,1.48757,0,200,2000,10,1
